,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
4398,Volkswagen Golf,2850.0,Volkswagen,Golf,2005,230 000 km,Benzina,102 CP,1 595 cm3,Fata,Euro 4,Manuala,Compacta,Germania,,
4399,Volvo V40 D2 Momentum,9300.0,Volvo,V40,2018,236 700 km,Diesel,120 CP,1 969 cm3,Fata,Euro 6,Manuala,Compacta,,,
4400,Peugeot 508,6300.0,Peugeot,508,2012,160 000 km,Diesel,114 CP,1 560 cm3,Fata,Euro 5,Automata,Masina mica,Franta,,Da
4401,BMW Seria 5 520d Touring Aut.,10150.0,BMW,Seria 5,2011,248 960 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,,
4402,Toyota Land Cruiser,10800.0,Toyota,Land Cruiser,2004,213 500 km,Diesel,163 CP,2 982 cm3,4x4 (automat),Euro 4,Manuala,SUV,Austria,Da,Da
4403,Audi A4 Allroad quattro 3.0 TDI S tronic,19900.0,Audi,A4 Allroad,2017,203 000 km,Diesel,218 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Combi,,Da,Da
4404,Volkswagen Golf 1.4 Variant Trendline,4000.0,Volkswagen,Golf,2005,324 000 km,Benzina,75 CP,1 390 cm3,,,Manuala,Compacta,,,
4405,Audi Q7 3.0 TDI Quattro Tiptronic,46500.0,Audi,Q7,2017,136 500 km,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,Germania,,
4406,Skoda Superb Combi 2.0 TDI DSG Sportline,12450.0,Skoda,Superb,2016,188 000 km,Diesel,150 CP,1 968 cm3,Fata,Euro 6b,Automata,Combi,,Da,Da
4407,Audi A3 2.0 TDI Sportback quattro S tronic design,15600.0,Audi,A3,2015,161 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Compacta,,,
4408,Toyota Avensis,17900.0,Toyota,Avensis,2018,30 850 km,Diesel,143 CP,1 995 cm3,Fata,Euro 6,Manuala,Sedan,Romania,Da,Da
4409,Ford Focus,5990.0,Ford,Focus,2012,157 729 km,Benzina,100 CP,999 cm3,Fata,Euro 5,Manuala,Combi,Germania,Da,Da
